RED1,RED2,RED3,RED4,BLUE,OCCURRENCE,ISSUE
1,3,19,23,14,1,17110 
1,3,19,24,1,1,16101 
1,3,19,25,4,1,06074 
1,3,19,25,10,1,12010 
1,3,19,26,3,1,20123 
1,3,19,26,7,1,20058 
1,3,19,26,10,1,12010 
1,3,19,27,10,1,21133 
1,3,19,27,11,1,15112 
1,3,19,27,16,1,16039 
1,3,19,29,3,1,20123 
1,3,19,29,7,1,17075 
1,3,19,30,16,1,09135 
1,3,19,31,10,1,21133 
1,3,19,31,16,1,19079 
1,3,19,32,1,1,16101 
1,3,19,32,16,1,14072 
1,3,19,33,1,1,16101 
1,3,19,33,3,1,19014 
1,3,19,33,4,1,06074 
1,3,19,33,16,1,09135 
